track_id,parent_id,start_frame,end_frame,morphology_class,area,length,width,centroid_x,centroid_y
1,0,0,17,,512.43,295.86,2.0,1128.7,1.53
2,0,0,7,Divided,1662.83,113.58,27.32,1362.04,149.66
3,0,0,5,Elongated,8274.25,583.78,25.05,833.71,18.12
4,0,0,7,,1529.62,79.29,29.8,1351.17,38.84
5,0,0,4,,1034.25,107.18,14.27,1192.54,22.07
6,0,0,21,Divided,448.88,34.26,18.16,1334.12,70.82
7,0,0,17,Divided,478.29,41.35,15.03,1123.92,44.48
8,0,0,36,Elongated,2927.2,206.1,19.88,1080.11,60.11
9,0,0,25,Divided,559.0,46.43,15.38,1168.72,53.32
10,0,0,0,Elongated,6452.0,414.31,66.42,599.14,104.17
11,0,0,15,,1750.58,123.95,27.87,581.05,58.27
12,0,0,5,Divided,675.0,47.24,18.49,1179.99,51.58
13,0,0,36,Divided,415.59,29.79,18.07,445.27,63.77
14,0,0,24,,317.67,22.89,17.54,392.82,61.64
15,0,0,2,,1765.0,93.79,25.38,107.88,64.53
16,0,0,15,,4306.08,172.32,34.87,265.94,86.95
17,0,0,34,,2301.77,86.6,41.5,504.23,82.34
18,0,0,34,,1410.84,91.11,20.97,610.46,84.61
19,0,0,21,Divided,519.73,37.82,18.49,1321.57,50.95
20,0,0,35,,1275.09,94.83,17.91,913.53,74.4
21,0,0,10,Elongated,14467.1,895.49,53.85,833.52,127.56
22,0,0,36,Divided,540.25,40.85,17.19,849.07,72.32
23,0,0,10,,1853.56,84.95,42.09,42.7,103.3
24,0,0,5,,264.5,24.13,14.23,892.24,78.11
25,0,0,13,,6152.25,205.66,56.44,316.9,125.94
26,0,0,36,,1498.4,72.19,28.56,128.35,90.93
27,0,0,36,Divided,615.65,40.13,19.8,810.65,83.9
28,0,0,0,,795.0,59.38,17.13,1216.36,85.02
29,0,0,0,,288.0,23.83,15.62,1341.9,86.19
30,0,0,34,,694.63,45.44,19.89,762.05,88.72
31,0,0,36,,2885.18,155.93,30.6,128.88,134.41
32,0,0,27,Elongated,4266.35,324.7,22.84,915.41,95.1
33,0,0,31,,880.67,60.67,20.29,514.38,124.46
34,0,0,1,Divided,388.0,31.8,15.74,1023.13,96.26
35,0,0,1,Divided,614.0,45.49,17.33,977.49,102.5
36,0,0,0,Divided,292.0,28.09,13.37,1165.15,100.42
37,0,0,36,,2920.37,184.77,23.76,547.44,141.55
38,0,0,0,,818.0,60.07,17.51,937.59,109.91
39,0,0,35,,1415.51,101.03,20.45,718.7,101.39
40,0,0,0,Elongated,3403.0,289.11,25.19,976.28,144.91
41,0,0,36,,2013.14,77.13,37.31,467.99,150.1
42,0,0,6,Divided,350.0,33.7,13.09,1110.44,95.2
43,0,0,2,,1587.0,122.62,17.62,1196.03,118.33
44,0,0,22,,784.33,42.39,26.29,1360.89,120.71
45,0,0,34,Divided,505.11,44.33,14.69,845.7,115.93
46,0,0,5,,948.75,78.15,15.46,1061.66,105.44
47,0,0,8,Elongated,3477.75,260.32,21.31,1022.29,128.29
48,0,0,1,Divided,3635.0,262.32,35.39,676.09,179.82
49,0,0,35,Divided,831.57,59.02,20.29,797.39,116.83
50,0,0,6,,525.83,38.06,17.87,1318.08,103.95
51,0,0,10,Elongated,2188.78,189.94,16.73,1147.36,136.26
52,0,0,34,Divided,552.88,40.25,18.47,739.21,120.15
53,0,0,3,Divided,409.33,32.26,16.98,1226.28,138.05
54,0,0,3,,1167.5,55.4,33.89,225.6,155.7
55,0,0,36,,1642.31,77.35,29.48,397.19,181.58
56,0,0,12,Divided,385.1,34.38,15.56,1210.61,196.32
57,0,0,2,Divided,312.67,23.84,17.24,71.67,147.82
58,0,0,36,Divided,518.97,32.76,21.63,126.83,178.58
59,0,0,35,Divided,495.06,33.97,18.98,708.78,129.79
60,0,0,11,Divided,472.62,34.67,17.78,1225.53,107.12
61,0,0,36,Divided,571.62,33.67,23.25,19.09,167.29
62,0,0,32,,1010.83,80.46,16.95,1036.31,237.2
63,0,0,20,Divided,537.78,42.14,17.86,1322.92,219.24
64,0,0,36,,479.57,37.22,17.6,441.22,199.15
65,0,0,17,Divided,1003.13,42.86,29.7,88.54,177.03
66,0,0,14,,1334.45,108.93,16.67,1165.33,155.12
67,0,0,6,,2537.43,118.92,40.11,145.76,235.26
68,0,0,4,Divided,626.0,51.96,15.39,1002.74,165.58
69,0,0,0,,1285.0,93.5,20.0,160.76,173.69
70,0,0,10,,983.5,64.61,21.06,1202.88,181.63
71,0,0,36,,2101.18,98.03,30.63,311.83,209.66
72,0,0,4,Divided,428.75,31.77,17.87,1347.65,218.41
73,0,0,5,Elongated,4048.33,297.48,21.94,743.13,186.22
74,0,0,1,Elongated,6477.0,439.9,29.86,884.58,241.87
75,0,0,7,,1008.0,79.1,16.92,983.07,174.2
76,0,0,13,,2158.25,87.09,40.8,351.25,209.22
77,0,0,7,,882.43,59.83,20.06,872.45,187.4
78,0,0,0,,830.0,67.11,16.1,236.86,195.71
79,0,0,36,,2136.4,106.31,28.51,191.72,243.56
80,0,0,18,Divided,615.94,42.5,19.15,1021.04,177.09
81,0,0,4,Divided,443.0,32.64,17.48,1325.17,206.49
82,0,0,11,Elongated,4929.0,357.53,25.76,780.77,198.21
83,0,0,0,,225.0,17.23,16.76,1152.75,201.0
84,0,0,7,Elongated,4839.5,330.73,20.78,879.01,221.2
